[id][cost,state,father_id,action,depth,h,value]
[0][0,(0, 0),None,None,0,198,198]
[1][1,(0, 1),0,E,1,197,198]
[2][2,(0, 2),1,E,2,196,198]
[6][5,(1, 2),2,S,3,195,200]
[13][8,(1, 3),6,E,4,194,202]
[41][9,(1, 4),13,E,5,193,202]
[45][10,(1, 5),41,E,6,192,202]
[50][12,(2, 5),45,S,7,191,203]
[60][13,(2, 6),50,E,8,190,203]
[64][14,(2, 7),60,E,9,189,203]
[67][15,(2, 8),64,E,10,188,203]
[72][18,(3, 8),67,S,11,187,205]
[126][19,(4, 8),72,S,12,186,205]
[151][20,(5, 8),126,S,13,185,205]
[165][21,(6, 8),151,S,14,184,205]
[174][22,(7, 8),165,S,15,183,205]
[186][23,(7, 9),174,E,16,182,205]
[190][24,(8, 9),186,S,17,181,205]
[201][28,(9, 9),190,S,18,180,208]
[381][29,(10, 9),201,S,19,179,208]
[387][30,(10, 10),381,E,20,178,208]
[391][31,(11, 10),387,S,21,177,208]
[398][32,(11, 11),391,E,22,176,208]
[403][33,(12, 11),398,S,23,175,208]
[410][34,(12, 12),403,E,24,174,208]
[414][35,(13, 12),410,S,25,173,208]
[417][36,(13, 13),414,E,26,172,208]
[421][38,(13, 14),417,E,27,171,209]
[488][39,(13, 15),421,E,28,170,209]
[491][40,(13, 16),488,E,29,169,209]
[496][42,(14, 16),491,S,30,168,210]
[664][43,(15, 16),496,S,31,167,210]
[674][46,(16, 16),664,S,32,166,212]
[977][48,(17, 16),674,S,33,165,213]
[1087][51,(18, 16),977,S,34,164,215]
[1399][53,(19, 16),1087,S,35,163,216]
[1590][55,(20, 16),1399,S,36,162,217]
[1777][56,(20, 17),1590,E,37,161,217]
[1781][57,(21, 17),1777,S,38,160,217]
[1805][60,(22, 17),1781,S,39,159,219]
[2212][61,(23, 17),1805,S,40,158,219]
[2236][62,(24, 17),2212,S,41,157,219]
[2250][63,(24, 18),2236,E,42,156,219]
[2254][64,(24, 19),2250,E,43,155,219]
[2258][65,(25, 19),2254,S,44,154,219]
[2273][66,(25, 20),2258,E,45,153,219]
[2277][69,(25, 21),2273,E,46,152,221]
[2953][70,(26, 21),2277,S,47,151,221]
[2970][71,(26, 22),2953,E,48,150,221]
[2974][72,(27, 22),2970,S,49,149,221]
[3002][73,(27, 23),2974,E,50,148,221]
[3005][74,(28, 23),3002,S,51,147,221]
[3028][75,(29, 23),3005,S,52,146,221]
[3051][76,(29, 24),3028,E,53,145,221]
[3054][77,(29, 25),3051,E,54,144,221]
[3058][78,(30, 25),3054,S,55,143,221]
[3079][79,(31, 25),3058,S,56,142,221]
[3101][80,(32, 25),3079,S,57,141,221]
[3120][81,(33, 25),3101,S,58,140,221]
[3131][82,(33, 26),3120,E,59,139,221]
[3134][83,(34, 26),3131,S,60,138,221]
[3150][84,(35, 26),3134,S,61,137,221]
[3153][85,(35, 27),3150,E,62,136,221]
[3158][86,(36, 27),3153,S,63,135,221]
[3164][87,(37, 27),3158,S,64,134,221]
[3167][88,(37, 28),3164,E,65,133,221]
[3170][89,(37, 29),3167,E,66,132,221]
[3173][90,(37, 30),3170,E,67,131,221]
[3175][91,(37, 31),3173,E,68,130,221]
[3179][92,(38, 31),3175,S,69,129,221]
[3193][93,(39, 31),3179,S,70,128,221]
[3200][94,(39, 32),3193,E,71,127,221]
[3204][95,(39, 33),3200,E,72,126,221]
[3208][96,(39, 34),3204,E,73,125,221]
[3211][97,(38, 34),3208,N,74,126,223]
[3902][98,(38, 35),3211,E,75,125,223]
[3905][99,(38, 36),3902,E,76,124,223]
[3909][100,(38, 37),3905,E,77,123,223]
[3912][101,(38, 38),3909,E,78,122,223]
[3915][103,(38, 39),3912,E,79,121,224]
[4307][104,(38, 40),3915,E,80,120,224]
[4310][105,(38, 41),4307,E,81,119,224]
[4313][106,(38, 42),4310,E,82,118,224]
[4317][107,(39, 42),4313,S,83,117,224]
[4324][108,(40, 42),4317,S,84,116,224]
[4334][109,(40, 41),4324,O,85,117,226]
[5231][110,(41, 41),4334,S,86,116,226]
[5238][111,(42, 41),5231,S,87,115,226]
[5261][112,(42, 42),5238,E,88,114,226]
[5264][113,(43, 42),5261,S,89,113,226]
[5281][114,(43, 43),5264,E,90,112,226]
[5284][115,(44, 43),5281,S,91,111,226]
[5317][116,(45, 43),5284,S,92,110,226]
[5345][118,(45, 44),5317,E,93,109,227]
[5911][119,(45, 45),5345,E,94,108,227]
[5915][120,(45, 46),5911,E,95,107,227]
