[id][cost,state,father_id,action,depth,h,value]
[0][0,(0, 0),None,None,0,198,198]
[1][1,(0, 1),0,E,1,197,197]
[2][2,(0, 2),1,E,2,196,196]
[5][6,(0, 3),2,E,3,195,195]
[8][9,(1, 3),5,S,4,194,194]
[11][10,(1, 4),8,E,5,193,193]
[15][11,(1, 5),11,E,6,192,192]
[19][15,(1, 6),15,E,7,191,191]
[23][16,(2, 6),19,S,8,190,190]
[26][17,(2, 7),23,E,9,189,189]
[29][18,(2, 8),26,E,10,188,188]
[33][20,(2, 9),29,E,11,187,187]
[37][22,(2, 10),33,E,12,186,186]
[41][23,(2, 11),37,E,13,185,185]
[45][26,(2, 12),41,E,14,184,184]
[49][28,(2, 13),45,E,15,183,183]
[53][31,(2, 14),49,E,16,182,182]
[56][33,(3, 14),53,S,17,181,181]
[59][34,(3, 15),56,E,18,180,180]
[63][37,(3, 16),59,E,19,179,179]
[66][40,(3, 17),63,E,20,178,178]
[70][41,(3, 18),66,E,21,177,177]
[74][44,(3, 19),70,E,22,176,176]
[76][47,(3, 20),74,E,23,175,175]
[80][48,(3, 21),76,E,24,174,174]
[84][52,(3, 22),80,E,25,173,173]
[88][54,(4, 22),84,S,26,172,172]
[91][55,(5, 22),88,S,27,171,171]
[94][57,(5, 23),91,E,28,170,170]
[98][58,(5, 24),94,E,29,169,169]
[102][59,(5, 25),98,E,30,168,168]
[105][60,(5, 26),102,E,31,167,167]
[109][62,(6, 26),105,S,32,166,166]
[112][63,(6, 27),109,E,33,165,165]
[116][66,(6, 28),112,E,34,164,164]
[119][70,(6, 29),116,E,35,163,163]
[123][71,(6, 30),119,E,36,162,162]
[127][74,(7, 30),123,S,37,161,161]
[130][77,(8, 30),127,S,38,160,160]
[133][78,(8, 31),130,E,39,159,159]
[137][79,(8, 32),133,E,40,158,158]
[141][81,(8, 33),137,E,41,157,157]
[145][82,(8, 34),141,E,42,156,156]
[149][85,(8, 35),145,E,43,155,155]
[153][88,(9, 35),149,S,44,154,154]
[156][91,(9, 36),153,E,45,153,153]
[160][92,(9, 37),156,E,46,152,152]
[163][95,(9, 38),160,E,47,151,151]
[165][98,(9, 39),163,E,48,150,150]
[169][100,(9, 40),165,E,49,149,149]
[173][103,(9, 41),169,E,50,148,148]
[177][104,(9, 42),173,E,51,147,147]
[181][105,(9, 43),177,E,52,146,146]
[184][109,(9, 44),181,E,53,145,145]
[188][113,(9, 45),184,E,54,144,144]
[191][114,(9, 46),188,E,55,143,143]
[195][116,(9, 47),191,E,56,142,142]
[199][117,(9, 48),195,E,57,141,141]
[203][121,(9, 49),199,E,58,140,140]
[207][123,(9, 50),203,E,59,139,139]
[211][127,(9, 51),207,E,60,138,138]
[214][128,(9, 52),211,E,61,137,137]
[217][130,(9, 53),214,E,62,136,136]
[221][133,(9, 54),217,E,63,135,135]
[225][135,(9, 55),221,E,64,134,134]
[229][137,(9, 56),225,E,65,133,133]
[231][139,(9, 57),229,E,66,132,132]
[234][142,(9, 58),231,E,67,131,131]
[237][146,(9, 59),234,E,68,130,130]
[241][147,(9, 60),237,E,69,129,129]
[244][148,(9, 61),241,E,70,128,128]
[248][150,(10, 61),244,S,71,127,127]
[251][152,(10, 62),248,E,72,126,126]
[255][154,(10, 63),251,E,73,125,125]
[259][156,(10, 64),255,E,74,124,124]
[263][159,(11, 64),259,S,75,123,123]
[266][160,(11, 65),263,E,76,122,122]
[270][163,(11, 66),266,E,77,121,121]
[274][164,(11, 67),270,E,78,120,120]
[278][166,(12, 67),274,S,79,119,119]
[281][167,(12, 68),278,E,80,118,118]
[284][168,(12, 69),281,E,81,117,117]
[288][171,(12, 70),284,E,82,116,116]
[292][173,(12, 71),288,E,83,115,115]
[296][176,(12, 72),292,E,84,114,114]
[300][177,(13, 72),296,S,85,113,113]
[303][180,(13, 73),300,E,86,112,112]
[304][183,(13, 74),303,E,87,111,111]
[307][184,(13, 75),304,E,88,110,110]
[309][187,(14, 75),307,S,89,109,109]
[312][189,(14, 76),309,E,90,108,108]
[314][190,(15, 76),312,S,91,107,107]
[317][193,(15, 77),314,E,92,106,106]
[321][194,(15, 78),317,E,93,105,105]
[326][195,(16, 78),321,S,94,104,104]
[331][196,(16, 79),326,E,95,103,103]
[333][200,(16, 80),331,E,96,102,102]
[337][201,(16, 81),333,E,97,101,101]
[341][202,(16, 82),337,E,98,100,100]
[345][203,(16, 83),341,E,99,99,99]
[348][206,(16, 84),345,E,100,98,98]
[352][207,(16, 85),348,E,101,97,97]
[355][208,(16, 86),352,E,102,96,96]
[359][209,(16, 87),355,E,103,95,95]
[363][211,(16, 88),359,E,104,94,94]
[367][212,(16, 89),363,E,105,93,93]
[371][216,(16, 90),367,E,106,92,92]
[375][217,(16, 91),371,E,107,91,91]
[378][218,(16, 92),375,E,108,90,90]
[382][219,(16, 93),378,E,109,89,89]
[385][220,(16, 94),382,E,110,88,88]
[389][224,(16, 95),385,E,111,87,87]
[393][225,(16, 96),389,E,112,86,86]
[396][226,(16, 97),393,E,113,85,85]
[400][227,(16, 98),396,E,114,84,84]
[403][228,(16, 99),400,E,115,83,83]
[407][229,(17, 99),403,S,116,82,82]
[410][230,(18, 99),407,S,117,81,81]
[413][231,(18, 98),410,O,118,82,82]
[416][232,(19, 98),413,S,119,81,81]
[419][235,(19, 99),416,E,120,80,80]
[421][236,(20, 99),419,S,121,79,79]
[424][237,(21, 99),421,S,122,78,78]
[427][238,(22, 99),424,S,123,77,77]
[430][239,(23, 99),427,S,124,76,76]
[433][241,(24, 99),430,S,125,75,75]
[435][244,(25, 99),433,S,126,74,74]
[438][245,(26, 99),435,S,127,73,73]
[440][248,(27, 99),438,S,128,72,72]
[442][251,(28, 99),440,S,129,71,71]
[445][254,(28, 98),442,O,130,72,72]
[448][255,(28, 97),445,O,131,73,73]
[455][258,(29, 97),448,S,132,72,72]
[458][260,(29, 98),455,E,133,71,71]
[461][263,(29, 99),458,E,134,70,70]
[464][265,(30, 99),461,S,135,69,69]
[467][267,(31, 99),464,S,136,68,68]
[470][271,(32, 99),467,S,137,67,67]
[472][272,(33, 99),470,S,138,66,66]
[475][273,(34, 99),472,S,139,65,65]
[477][277,(35, 99),475,S,140,64,64]
[481][281,(35, 98),477,O,141,65,65]
[485][283,(36, 98),481,S,142,64,64]
[488][285,(37, 98),485,S,143,63,63]
[491][289,(37, 97),488,O,144,64,64]
[494][290,(38, 97),491,S,145,63,63]
[497][291,(38, 98),494,E,146,62,62]
[500][295,(38, 99),497,E,147,61,61]
[503][296,(39, 99),500,S,148,60,60]
[506][297,(40, 99),503,S,149,59,59]
[510][298,(40, 98),506,O,150,60,60]
[522][299,(40, 97),510,O,151,61,61]
[528][300,(41, 97),522,S,152,60,60]
[531][304,(42, 97),528,S,153,59,59]
[535][308,(43, 97),531,S,154,58,58]
[539][310,(43, 96),535,O,155,59,59]
[542][312,(44, 96),539,S,156,58,58]
[545][313,(44, 97),542,E,157,57,57]
[547][317,(44, 98),545,E,158,56,56]
[551][320,(44, 99),547,E,159,55,55]
[554][321,(45, 99),551,S,160,54,54]
[557][323,(46, 99),554,S,161,53,53]
[560][325,(47, 99),557,S,162,52,52]
[563][326,(48, 99),560,S,163,51,51]
[565][329,(49, 99),563,S,164,50,50]
[569][330,(49, 98),565,O,165,51,51]
[573][332,(49, 97),569,O,166,52,52]
[580][336,(50, 97),573,S,167,51,51]
[582][337,(50, 98),580,E,168,50,50]
[584][338,(51, 98),582,S,169,49,49]
[587][339,(51, 99),584,E,170,48,48]
[590][340,(52, 99),587,S,171,47,47]
[593][341,(53, 99),590,S,172,46,46]
[597][343,(53, 98),593,O,173,47,47]
[609][344,(53, 97),597,O,174,48,48]
[616][348,(54, 97),609,S,175,47,47]
[619][349,(55, 97),616,S,176,46,46]
[622][353,(56, 97),619,S,177,45,45]
[624][355,(56, 98),622,E,178,44,44]
[627][357,(56, 99),624,E,179,43,43]
[630][359,(57, 99),627,S,180,42,42]
[633][361,(58, 99),630,S,181,41,41]
[636][362,(59, 99),633,S,182,40,40]
[639][364,(60, 99),636,S,183,39,39]
[642][365,(61, 99),639,S,184,38,38]
[645][366,(62, 99),642,S,185,37,37]
[648][367,(63, 99),645,S,186,36,36]
[650][370,(64, 99),648,S,187,35,35]
[653][371,(65, 99),650,S,188,34,34]
[656][372,(66, 99),653,S,189,33,33]
[658][375,(67, 99),656,S,190,32,32]
[660][376,(68, 99),658,S,191,31,31]
[662][377,(69, 99),660,S,192,30,30]
