[id][cost,state,father_id,action,depth,h,value]
[0][0,(0, 0),None,None,0,98,0]
[1][2,(1, 0),0,S,1,97,1]
[3][4,(1, 1),1,E,2,96,2]
[6][7,(1, 2),3,E,3,95,3]
[15][11,(1, 3),6,E,4,94,4]
[27][15,(1, 4),15,E,5,93,5]
[43][16,(2, 4),27,S,6,92,6]
[63][17,(2, 5),43,E,7,91,7]
[82][20,(2, 6),63,E,8,90,8]
[107][21,(2, 7),82,E,9,89,9]
[134][24,(2, 8),107,E,10,88,10]
[163][26,(2, 9),134,E,11,87,11]
[195][27,(2, 10),163,E,12,86,12]
[230][30,(3, 10),195,S,13,85,13]
[273][31,(3, 11),230,E,14,84,14]
[319][32,(4, 11),273,S,15,83,15]
[365][33,(4, 12),319,E,16,82,16]
[404][35,(5, 12),365,S,17,81,17]
[447][38,(5, 13),404,E,18,80,18]
[497][42,(5, 14),447,E,19,79,19]
[559][43,(5, 15),497,E,20,78,20]
[624][45,(5, 16),559,E,21,77,21]
[684][46,(5, 17),624,E,22,76,22]
[748][47,(5, 18),684,E,23,75,23]
[822][51,(5, 19),748,E,24,74,24]
[897][52,(5, 20),822,E,25,73,25]
[967][55,(5, 21),897,E,26,72,26]
[1038][56,(5, 22),967,E,27,71,27]
[1115][58,(5, 23),1038,E,28,70,28]
[1194][60,(6, 23),1115,S,29,69,29]
[1277][61,(6, 24),1194,E,30,68,30]
[1370][64,(6, 25),1277,E,31,67,31]
[1472][66,(6, 26),1370,E,32,66,32]
[1566][67,(7, 26),1472,S,33,65,33]
[1657][69,(7, 27),1566,E,34,64,34]
[1754][73,(7, 28),1657,E,35,63,35]
[1857][75,(8, 28),1754,S,36,62,36]
[1967][76,(9, 28),1857,S,37,61,37]
[2083][80,(9, 29),1967,E,38,60,38]
[2186][83,(10, 29),2083,S,39,59,39]
[2297][84,(10, 30),2186,E,40,58,40]
[2416][85,(10, 31),2297,E,41,57,41]
[2536][86,(10, 32),2416,E,42,56,42]
[2658][87,(10, 33),2536,E,43,55,43]
[2779][90,(11, 33),2658,S,44,54,44]
[2908][93,(12, 33),2779,S,45,53,45]
[3062][94,(13, 33),2908,S,46,52,46]
[3221][97,(13, 34),3062,E,47,51,47]
[3373][98,(14, 34),3221,S,48,50,48]
[3523][100,(15, 34),3373,S,49,49,49]
[3668][102,(16, 34),3523,S,50,48,50]
[3821][105,(17, 34),3668,S,51,47,51]
[3974][106,(17, 35),3821,E,52,46,52]
[4127][107,(17, 36),3974,E,53,45,53]
[4294][108,(18, 36),4127,S,54,44,54]
[4470][109,(19, 36),4294,S,55,43,55]
[4652][110,(20, 36),4470,S,56,42,56]
[4819][111,(20, 37),4652,E,57,41,57]
[4979][112,(21, 37),4819,S,58,40,58]
[5148][114,(22, 37),4979,S,59,39,59]
[5316][117,(22, 38),5148,E,60,38,60]
[5471][119,(22, 39),5316,E,61,37,61]
[5617][120,(23, 39),5471,S,62,36,62]
[5761][124,(23, 40),5617,E,63,35,63]
[5887][126,(24, 40),5761,S,64,34,64]
[6000][128,(24, 41),5887,E,65,33,65]
[6108][129,(24, 42),6000,E,66,32,66]
[6214][130,(25, 42),6108,S,67,31,67]
[6315][131,(26, 42),6214,S,68,30,68]
[6416][132,(26, 43),6315,E,69,29,69]
[6521][133,(27, 43),6416,S,70,28,70]
[6619][134,(28, 43),6521,S,71,27,71]
[6714][135,(29, 43),6619,S,72,26,72]
[6812][139,(30, 43),6714,S,73,25,73]
[6899][140,(30, 44),6812,E,74,24,74]
[6976][143,(31, 44),6899,S,75,23,75]
[7053][144,(32, 44),6976,S,76,22,76]
[7126][145,(33, 44),7053,S,77,21,77]
[7201][147,(34, 44),7126,S,78,20,78]
[7274][148,(35, 44),7201,S,79,19,79]
[7339][149,(35, 45),7274,E,80,18,80]
[7399][150,(36, 45),7339,S,81,17,81]
[7466][151,(37, 45),7399,S,82,16,82]
[7528][152,(38, 45),7466,S,83,15,83]
[7581][154,(39, 45),7528,S,84,14,84]
[7634][158,(40, 45),7581,S,85,13,85]
[7687][162,(41, 45),7634,S,86,12,86]
[7735][164,(42, 45),7687,S,87,11,87]
[7774][165,(43, 45),7735,S,88,10,88]
[7813][166,(44, 45),7774,S,89,9,89]
[7850][170,(45, 45),7813,S,90,8,90]
[7877][172,(45, 46),7850,E,91,7,91]
[7902][173,(46, 46),7877,S,92,6,92]
[7924][175,(46, 47),7902,E,93,5,93]
[7936][177,(46, 48),7924,E,94,4,94]
[7949][178,(46, 49),7936,E,95,3,95]
[7959][182,(47, 49),7949,S,96,2,96]
[7968][183,(48, 49),7959,S,97,1,97]
[7981][184,(49, 49),7968,S,98,0,98]
