[id][cost,state,father_id,action,depth,h,value]
[0][0,(0, 0),None,None,0,98,0]
[1][2,(1, 0),0,S,1,97,2]
[4][3,(2, 0),1,S,2,96,3]
[7][6,(3, 0),4,S,3,95,6]
[16][7,(3, 1),7,E,4,94,7]
[22][8,(3, 2),16,E,5,93,8]
[30][9,(3, 3),22,E,6,92,9]
[39][10,(4, 3),30,S,7,91,10]
[48][11,(5, 3),39,S,8,90,11]
[66][12,(6, 3),48,S,9,89,12]
[78][13,(7, 3),66,S,10,88,13]
[98][14,(7, 4),78,E,11,87,14]
[109][15,(7, 5),98,E,12,86,15]
[130][16,(7, 6),109,E,13,85,16]
[149][17,(7, 7),130,E,14,84,17]
[172][18,(8, 7),149,S,15,83,18]
[211][19,(9, 7),172,S,16,82,19]
[257][20,(9, 8),211,E,17,81,20]
[272][22,(10, 8),257,S,18,80,22]
[315][23,(11, 8),272,S,19,79,23]
[345][24,(11, 9),315,E,20,78,24]
[377][25,(12, 9),345,S,21,77,25]
[420][26,(12, 10),377,E,22,76,26]
[444][27,(12, 11),420,E,23,75,27]
[489][28,(12, 12),444,E,24,74,28]
[529][29,(13, 12),489,S,25,73,29]
[556][30,(14, 12),529,S,26,72,30]
[596][31,(14, 13),556,E,27,71,31]
[648][32,(14, 14),596,E,28,70,32]
[699][33,(15, 14),648,S,29,69,33]
[748][37,(15, 15),699,E,30,68,37]
[971][38,(16, 15),748,S,31,67,38]
[1043][39,(16, 16),971,E,32,66,39]
[1116][40,(16, 17),1043,E,33,65,40]
[1197][41,(16, 18),1116,E,34,64,41]
[1255][42,(17, 18),1197,S,35,63,42]
[1318][43,(17, 19),1255,E,36,62,43]
[1380][44,(17, 20),1318,E,37,61,44]
[1456][45,(17, 21),1380,E,38,60,45]
[1519][46,(17, 22),1456,E,39,59,46]
[1593][47,(17, 23),1519,E,40,58,47]
[1678][49,(17, 24),1593,E,41,57,49]
[1816][50,(18, 24),1678,S,42,56,50]
[1897][51,(18, 25),1816,E,43,55,51]
[1973][53,(18, 26),1897,E,44,54,53]
[2101][54,(18, 27),1973,E,45,53,54]
[2192][55,(18, 28),2101,E,46,52,55]
[2284][56,(19, 28),2192,S,47,51,56]
[2378][57,(20, 28),2284,S,48,50,57]
[2487][58,(21, 28),2378,S,49,49,58]
[2589][59,(22, 28),2487,S,50,48,59]
[2687][60,(23, 28),2589,S,51,47,60]
[2800][61,(23, 29),2687,E,52,46,61]
[2914][62,(23, 30),2800,E,53,45,62]
[3012][63,(23, 31),2914,E,54,44,63]
[3119][64,(22, 31),3012,N,55,45,64]
[3207][67,(22, 32),3119,E,56,44,67]
[3549][68,(22, 33),3207,E,57,43,68]
[3642][69,(22, 34),3549,E,58,42,69]
[3741][70,(23, 34),3642,S,59,41,70]
[3844][71,(23, 35),3741,E,60,40,71]
[3936][72,(24, 35),3844,S,61,39,72]
[4057][73,(24, 36),3936,E,62,38,73]
[4173][74,(25, 36),4057,S,63,37,74]
[4298][75,(25, 37),4173,E,64,36,75]
[4424][76,(26, 37),4298,S,65,35,76]
[4576][78,(27, 37),4424,S,66,34,78]
[4831][79,(27, 38),4576,E,67,33,79]
[4989][81,(28, 38),4831,S,68,32,81]
[5261][82,(28, 39),4989,E,69,31,82]
[5367][83,(28, 40),5261,E,70,30,83]
[5479][85,(29, 40),5367,S,71,29,85]
[5748][86,(29, 41),5479,E,72,28,86]
[5889][88,(30, 41),5748,S,73,27,88]
[6175][89,(31, 41),5889,S,74,26,89]
[6328][91,(32, 41),6175,S,75,25,91]
[6571][92,(32, 42),6328,E,76,24,92]
[6665][95,(32, 43),6571,E,77,23,95]
[6969][96,(32, 44),6665,E,78,22,96]
[7045][97,(33, 44),6969,S,79,21,97]
[7131][99,(34, 44),7045,S,80,20,99]
[7262][100,(35, 44),7131,S,81,19,100]
[7330][101,(35, 45),7262,E,82,18,101]
[7391][102,(36, 45),7330,S,83,17,102]
[7431][103,(36, 46),7391,E,84,16,103]
[7480][104,(37, 46),7431,S,85,15,104]
[7519][105,(37, 47),7480,E,86,14,105]
[7558][106,(37, 48),7519,E,87,13,106]
[7597][107,(37, 49),7558,E,88,12,107]
[7653][108,(38, 49),7597,S,89,11,108]
[7687][109,(39, 49),7653,S,90,10,109]
[7734][110,(40, 49),7687,S,91,9,110]
[7771][112,(41, 49),7734,S,92,8,112]
[7810][113,(42, 49),7771,S,93,7,113]
[7834][115,(43, 49),7810,S,94,6,115]
[7890][118,(44, 49),7834,S,95,5,118]
[7918][119,(45, 49),7890,S,96,4,119]
[7935][120,(45, 48),7918,O,97,5,120]
[7946][122,(46, 48),7935,S,98,4,122]
[7955][123,(47, 48),7946,S,99,3,123]
[7961][124,(48, 48),7955,S,100,2,124]
[7966][125,(48, 49),7961,E,101,1,125]
[7973][126,(49, 49),7966,S,102,0,126]
