[id][cost,state,father_id,action,depth,h,value]
[0][0,(0, 0),None,None,0,98,98]
[1][2,(1, 0),0,S,1,97,99]
[4][3,(2, 0),1,S,2,96,99]
[7][6,(3, 0),4,S,3,95,101]
[16][7,(3, 1),7,E,4,94,101]
[18][8,(3, 2),16,E,5,93,101]
[22][9,(3, 3),18,E,6,92,101]
[27][10,(4, 3),22,S,7,91,101]
[30][11,(5, 3),27,S,8,90,101]
[34][12,(6, 3),30,S,9,89,101]
[38][13,(7, 3),34,S,10,88,101]
[41][14,(7, 4),38,E,11,87,101]
[43][15,(7, 5),41,E,12,86,101]
[47][16,(7, 6),43,E,13,85,101]
[51][17,(7, 7),47,E,14,84,101]
[56][18,(8, 7),51,S,15,83,101]
[72][19,(9, 7),56,S,16,82,101]
[75][20,(9, 8),72,E,17,81,101]
[78][22,(10, 8),75,S,18,80,102]
[89][23,(11, 8),78,S,19,79,102]
[92][24,(11, 9),89,E,20,78,102]
[97][25,(12, 9),92,S,21,77,102]
[102][26,(12, 10),97,E,22,76,102]
[105][27,(12, 11),102,E,23,75,102]
[108][28,(12, 12),105,E,24,74,102]
[111][29,(13, 12),108,S,25,73,102]
[124][30,(14, 12),111,S,26,72,102]
[131][31,(14, 13),124,E,27,71,102]
[135][32,(14, 14),131,E,28,70,102]
[140][33,(15, 14),135,S,29,69,102]
[151][35,(16, 14),140,S,30,68,103]
[247][36,(17, 14),151,S,31,67,103]
[250][37,(17, 15),247,E,32,66,103]
[253][38,(16, 15),250,N,33,67,105]
[514][39,(16, 16),253,E,34,66,105]
[517][40,(16, 17),514,E,35,65,105]
[520][41,(16, 18),517,E,36,64,105]
[525][42,(17, 18),520,S,37,63,105]
[536][43,(17, 19),525,E,38,62,105]
[539][44,(17, 20),536,E,39,61,105]
[543][45,(17, 21),539,E,40,60,105]
[547][46,(17, 22),543,E,41,59,105]
[551][47,(17, 23),547,E,42,58,105]
[555][49,(17, 24),551,E,43,57,106]
[791][50,(18, 24),555,S,44,56,106]
[807][51,(18, 25),791,E,45,55,106]
[810][53,(18, 26),807,E,46,54,107]
[961][54,(18, 27),810,E,47,53,107]
[964][55,(18, 28),961,E,48,52,107]
[968][56,(19, 28),964,S,49,51,107]
[987][57,(20, 28),968,S,50,50,107]
[1003][58,(21, 28),987,S,51,49,107]
[1014][59,(22, 28),1003,S,52,48,107]
[1023][60,(23, 28),1014,S,53,47,107]
[1036][61,(23, 29),1023,E,54,46,107]
[1040][62,(23, 30),1036,E,55,45,107]
[1044][63,(23, 31),1040,E,56,44,107]
[1047][64,(22, 31),1044,N,57,45,109]
[1498][67,(22, 32),1047,E,58,44,111]
[2014][68,(22, 33),1498,E,59,43,111]
[2018][69,(22, 34),2014,E,60,42,111]
[2022][70,(23, 34),2018,S,61,41,111]
[2041][71,(23, 35),2022,E,62,40,111]
[2044][72,(24, 35),2041,S,63,39,111]
[2074][73,(24, 36),2044,E,64,38,111]
[2078][74,(25, 36),2074,S,65,37,111]
[2085][75,(25, 37),2078,E,66,36,111]
[2089][76,(26, 37),2085,S,67,35,111]
[2096][78,(27, 37),2089,S,68,34,112]
[2373][79,(27, 38),2096,E,69,33,112]
[2376][81,(28, 38),2373,S,70,32,113]
[2709][82,(28, 39),2376,E,71,31,113]
[2712][83,(28, 40),2709,E,72,30,113]
[2717][85,(29, 40),2712,S,73,29,114]
[3049][86,(29, 41),2717,E,74,28,114]
[3053][88,(30, 41),3049,S,75,27,115]
[3440][89,(31, 41),3053,S,76,26,115]
[3457][91,(32, 41),3440,S,77,25,116]
[3891][92,(32, 42),3457,E,78,24,116]
[3895][95,(32, 43),3891,E,79,23,118]
[4715][96,(32, 44),3895,E,80,22,118]
[4720][97,(33, 44),4715,S,81,21,118]
[4744][99,(34, 44),4720,S,82,20,119]
[5384][100,(35, 44),4744,S,83,19,119]
[5408][101,(35, 45),5384,E,84,18,119]
[5412][102,(36, 45),5408,S,85,17,119]
[5437][103,(36, 46),5412,E,86,16,119]
[5441][104,(37, 46),5437,S,87,15,119]
[5476][105,(37, 47),5441,E,88,14,119]
[5480][106,(37, 48),5476,E,89,13,119]
[5484][107,(37, 49),5480,E,90,12,119]
[5488][108,(38, 49),5484,S,91,11,119]
[5503][109,(39, 49),5488,S,92,10,119]
[5506][110,(40, 49),5503,S,93,9,119]
[5508][112,(41, 49),5506,S,94,8,120]
[5871][113,(42, 49),5508,S,95,7,120]
[5900][115,(43, 49),5871,S,96,6,121]
[6292][118,(44, 49),5900,S,97,5,123]
[6892][119,(45, 49),6292,S,98,4,123]
[6910][120,(45, 48),6892,O,99,5,125]
[7346][122,(46, 48),6910,S,100,4,126]
[7540][123,(47, 48),7346,S,101,3,126]
[7548][124,(48, 48),7540,S,102,2,126]
[7553][125,(48, 49),7548,E,103,1,126]
[7557][126,(49, 49),7553,S,104,0,126]
