[id][cost,state,father_id,action,depth,h,value]
[0][0,(0, 0),None,None,0,98,1]
[1][2,(1, 0),0,S,1,97,1]
[3][4,(1, 1),1,E,2,96,0]
[10][7,(1, 2),3,E,3,95,0]
[18][11,(1, 3),10,E,4,94,0]
[21][12,(0, 3),18,N,5,95,0]
[25][15,(0, 4),21,E,6,94,0]
[27][18,(0, 5),25,E,7,93,0]
[30][19,(0, 6),27,E,8,92,0]
[33][21,(0, 7),30,E,9,91,0]
[36][22,(0, 8),33,E,10,90,0]
[38][25,(0, 9),36,E,11,89,0]
[41][26,(0, 10),38,E,12,88,0]
[43][27,(0, 11),41,E,13,87,0]
[46][31,(0, 12),43,E,14,86,0]
[49][32,(0, 13),46,E,15,85,0]
[52][35,(0, 14),49,E,16,84,0]
[55][39,(0, 15),52,E,17,83,0]
[58][41,(0, 16),55,E,18,82,0]
[61][43,(0, 17),58,E,19,81,0]
[64][44,(0, 18),61,E,20,80,0]
[67][46,(1, 18),64,S,21,79,0]
[110][47,(2, 18),67,S,22,78,0]
[170][49,(2, 19),110,E,23,77,0]
[172][50,(2, 20),170,E,24,76,0]
[175][51,(1, 20),172,N,25,77,0]
[180][52,(1, 21),175,E,26,76,0]
[191][55,(1, 22),180,E,27,75,0]
[195][56,(1, 23),191,E,28,74,0]
[203][59,(1, 24),195,E,29,73,0]
[206][62,(0, 24),203,N,30,74,0]
[210][66,(0, 25),206,E,31,73,0]
[212][69,(0, 26),210,E,32,72,0]
[216][70,(1, 26),212,S,33,71,0]
[226][71,(2, 26),216,S,34,70,0]
[243][72,(2, 27),226,E,35,69,0]
[246][73,(2, 28),243,E,36,68,0]
[250][76,(1, 28),246,N,37,69,0]
[254][78,(1, 29),250,E,38,68,0]
[256][81,(0, 29),254,N,39,69,0]
[260][84,(0, 30),256,E,40,68,0]
[262][88,(0, 31),260,E,41,67,0]
[265][89,(1, 31),262,S,42,66,0]
[272][90,(2, 31),265,S,43,65,0]
[284][91,(3, 31),272,S,44,64,0]
[386][95,(4, 31),284,S,45,63,0]
[483][98,(4, 32),386,E,46,62,0]
[485][100,(3, 32),483,N,47,63,0]
[489][101,(3, 33),485,E,48,62,0]
[491][102,(2, 33),489,N,49,63,0]
[494][103,(1, 33),491,N,50,64,0]
[499][104,(1, 32),494,O,51,65,0]
[500][105,(0, 32),499,N,52,66,0]
[502][106,(0, 33),500,E,53,65,0]
[504][108,(0, 34),502,E,54,64,0]
[506][112,(0, 35),504,E,55,63,0]
[509][114,(0, 36),506,E,56,62,0]
[512][116,(1, 36),509,S,57,61,0]
[523][120,(1, 37),512,E,58,60,0]
[526][121,(0, 37),523,N,59,61,0]
[530][124,(0, 38),526,E,60,60,0]
[532][125,(0, 39),530,E,61,59,0]
[535][126,(1, 39),532,S,62,58,0]
[540][129,(1, 40),535,E,63,57,0]
[542][130,(0, 40),540,N,64,58,0]
[545][131,(0, 41),542,E,65,57,0]
[547][132,(0, 42),545,E,66,56,0]
[550][134,(1, 42),547,S,67,55,0]
[556][137,(1, 43),550,E,68,54,0]
[559][139,(1, 44),556,E,69,53,0]
[565][140,(2, 44),559,S,70,52,0]
[638][141,(3, 44),565,S,71,51,0]
[688][142,(4, 44),638,S,72,50,0]
[732][146,(4, 45),688,E,73,49,0]
[734][150,(5, 45),732,S,74,48,0]
[887][151,(5, 46),734,E,75,47,0]
[893][154,(6, 46),887,S,76,46,0]
[1069][155,(7, 46),893,S,77,45,0]
[1228][156,(8, 46),1069,S,78,44,0]
[1377][157,(9, 46),1228,S,79,43,0]
[1538][160,(10, 46),1377,S,80,42,0]
[1705][161,(11, 46),1538,S,81,41,0]
[1874][164,(12, 46),1705,S,82,40,0]
[2022][166,(13, 46),1874,S,83,39,0]
[2176][170,(13, 47),2022,E,84,38,0]
[2178][171,(13, 48),2176,E,85,37,0]
[2182][172,(14, 48),2178,S,86,36,0]
[2354][176,(15, 48),2182,S,87,35,0]
[2521][177,(16, 48),2354,S,88,34,0]
[2680][181,(17, 48),2521,S,89,33,0]
[2848][183,(18, 48),2680,S,90,32,0]
[3016][185,(19, 48),2848,S,91,31,0]
[3171][186,(20, 48),3016,S,92,30,0]
[3338][188,(21, 48),3171,S,93,29,0]
[3499][189,(22, 48),3338,S,94,28,0]
[3662][190,(23, 48),3499,S,95,27,0]
[3826][191,(24, 48),3662,S,96,26,0]
[3989][192,(25, 48),3826,S,97,25,0]
[4144][194,(26, 48),3989,S,98,24,0]
[4310][195,(27, 48),4144,S,99,23,0]
[4473][196,(28, 48),4310,S,100,22,0]
[4629][200,(29, 48),4473,S,101,21,0]
[4796][202,(30, 48),4629,S,102,20,0]
[4945][203,(31, 48),4796,S,103,19,0]
[5109][204,(32, 48),4945,S,104,18,0]
[5277][207,(33, 48),5109,S,105,17,0]
[5447][211,(34, 48),5277,S,106,16,0]
[5603][214,(35, 48),5447,S,107,15,0]
[5767][215,(36, 48),5603,S,108,14,0]
[5935][216,(36, 49),5767,E,109,13,0]
[5938][217,(37, 49),5935,S,110,12,0]
[6108][218,(38, 49),5938,S,111,11,0]
[6269][219,(39, 49),6108,S,112,10,0]
[6422][220,(40, 49),6269,S,113,9,0]
[6589][222,(41, 49),6422,S,114,8,0]
[6752][223,(42, 49),6589,S,115,7,0]
[6914][225,(43, 49),6752,S,116,6,0]
[7081][228,(44, 49),6914,S,117,5,0]
[7233][229,(45, 49),7081,S,118,4,0]
[7392][230,(45, 48),7233,O,119,5,0]
[7394][232,(46, 48),7392,S,120,4,0]
[7555][233,(46, 49),7394,E,121,3,0]
[7558][237,(47, 49),7555,S,122,2,0]
[7708][238,(48, 49),7558,S,123,1,0]
[7873][239,(49, 49),7708,S,124,0,0]
