[id][cost,state,father_id,action,depth,h,value]
[0][0,(0, 0),None,None,0,48,0]
[1][1,(0, 1),0,E,1,47,48.0]
[4][3,(1, 1),1,S,2,46,49.0]
[8][4,(1, 2),4,E,3,45,49.0]
[10][5,(1, 3),8,E,4,44,49.0]
[13][6,(2, 3),10,S,5,43,49.0]
[22][7,(3, 3),13,S,6,42,49.0]
[23][8,(3, 4),22,E,7,41,49.0]
[27][9,(4, 4),23,S,8,40,49.0]
[29][10,(5, 4),27,S,9,39,49.0]
[30][11,(6, 4),29,S,10,38,49.0]
[32][12,(7, 4),30,S,11,37,49.0]
[34][13,(7, 5),32,E,12,36,49.0]
[38][14,(7, 6),34,E,13,35,49.0]
[40][16,(8, 6),38,S,14,34,50.0]
[56][17,(8, 7),40,E,15,33,50.0]
[59][18,(8, 8),56,E,16,32,50.0]
[61][19,(8, 9),59,E,17,31,50.0]
[65][20,(9, 9),61,S,18,30,50.0]
[67][22,(10, 9),65,S,19,29,51.0]
[84][23,(11, 9),67,S,20,28,51.0]
[85][24,(11, 10),84,E,21,27,51.0]
[88][26,(11, 11),85,E,22,26,52.0]
[110][27,(11, 12),88,E,23,25,52.0]
[113][31,(11, 13),110,E,24,24,55.0]
[190][32,(11, 14),113,E,25,23,55.0]
[192][33,(11, 15),190,E,26,22,55.0]
[195][34,(12, 15),192,S,27,21,55.0]
[205][35,(13, 15),195,S,28,20,55.0]
[215][36,(14, 15),205,S,29,19,55.0]
[219][37,(15, 15),215,S,30,18,55.0]
[225][38,(16, 15),219,S,31,17,55.0]
[230][39,(17, 15),225,S,32,16,55.0]
[233][40,(17, 16),230,E,33,15,55.0]
[236][41,(17, 17),233,E,34,14,55.0]
[239][42,(18, 17),236,S,35,13,55.0]
[247][43,(19, 17),239,S,36,12,55.0]
[252][44,(20, 17),247,S,37,11,55.0]
[254][45,(21, 17),252,S,38,10,55.0]
[256][46,(21, 18),254,E,39,9,55.0]
[259][47,(21, 19),256,E,40,8,55.0]
[261][48,(21, 20),259,E,41,7,55.0]
[264][52,(21, 21),261,E,42,6,58.0]
[402][53,(21, 22),264,E,43,5,58.0]
[405][54,(22, 22),402,S,44,4,58.0]
[409][55,(22, 23),405,E,45,3,58.0]
[411][56,(22, 24),409,E,46,2,58.0]
[414][57,(23, 24),411,S,47,1,58.0]
[417][61,(24, 24),414,S,48,0,61.0]
