[id][cost,state,father_id,action,depth,h,value]
[0][0,(0, 0),None,None,0,73,0]
[1][4,(0, 1),0,E,1,72,1.0]
[3][5,(0, 2),1,E,2,71,2.0]
[6][8,(1, 2),3,S,3,70,3.0]
[8][11,(1, 3),6,E,4,69,4.0]
[13][12,(1, 4),8,E,5,68,5.0]
[19][14,(1, 5),13,E,6,67,6.0]
[26][15,(1, 6),19,E,7,66,7.0]
[33][18,(1, 7),26,E,8,65,8.0]
[39][19,(1, 8),33,E,9,64,9.0]
[47][20,(1, 9),39,E,10,63,10.0]
[60][22,(1, 10),47,E,11,62,11.0]
[73][23,(2, 10),60,S,12,61,12.0]
[84][24,(2, 11),73,E,13,60,13.0]
[98][25,(3, 11),84,S,14,59,14.0]
[113][28,(3, 12),98,E,15,58,15.0]
[129][29,(3, 13),113,E,16,57,16.0]
[146][32,(4, 13),129,S,17,56,17.0]
[162][36,(4, 14),146,E,18,55,18.0]
[180][37,(4, 15),162,E,19,54,19.0]
[199][38,(4, 16),180,E,20,53,20.0]
[219][39,(4, 17),199,E,21,52,21.0]
[239][41,(5, 17),219,S,22,51,22.0]
[260][42,(5, 18),239,E,23,50,23.0]
[285][44,(6, 18),260,S,24,49,24.0]
[310][45,(7, 18),285,S,25,48,25.0]
[334][49,(8, 18),310,S,26,47,26.0]
[358][50,(8, 19),334,E,27,46,27.0]
[386][54,(9, 19),358,S,28,45,28.0]
[418][55,(10, 19),386,S,29,44,29.0]
[448][59,(11, 19),418,S,30,43,30.0]
[471][61,(12, 19),448,S,31,42,31.0]
[494][62,(13, 19),471,S,32,41,32.0]
[518][63,(13, 20),494,E,33,40,33.0]
[543][64,(14, 20),518,S,34,39,34.0]
[569][67,(15, 20),543,S,35,38,35.0]
[592][68,(16, 20),569,S,36,37,36.0]
[614][72,(17, 20),592,S,37,36,37.0]
[639][73,(18, 20),614,S,38,35,38.0]
[664][74,(19, 20),639,S,39,34,39.0]
[688][77,(20, 20),664,S,40,33,40.0]
[709][78,(21, 20),688,S,41,32,41.0]
[733][79,(22, 20),709,S,42,31,42.0]
[760][80,(23, 20),733,S,43,30,43.0]
[784][83,(24, 20),760,S,44,29,44.0]
[809][85,(25, 20),784,S,45,28,45.0]
[837][87,(26, 20),809,S,46,27,46.0]
[864][88,(27, 20),837,S,47,26,47.0]
[886][90,(28, 20),864,S,48,25,48.0]
[909][93,(29, 20),886,S,49,24,49.0]
[936][94,(30, 20),909,S,50,23,50.0]
[962][95,(31, 20),936,S,51,22,51.0]
[985][98,(31, 21),962,E,52,21,52.0]
[1010][102,(32, 21),985,S,53,20,53.0]
[1034][105,(33, 21),1010,S,54,19,54.0]
[1055][108,(34, 21),1034,S,55,18,55.0]
[1077][111,(35, 21),1055,S,56,17,56.0]
[1098][112,(36, 21),1077,S,57,16,57.0]
[1113][113,(36, 22),1098,E,58,15,58.0]
[1129][115,(37, 22),1113,S,59,14,59.0]
[1146][116,(38, 22),1129,S,60,13,60.0]
[1161][120,(39, 22),1146,S,61,12,61.0]
[1175][122,(40, 22),1161,S,62,11,62.0]
[1186][123,(40, 23),1175,E,63,10,63.0]
[1196][126,(41, 23),1186,S,64,9,64.0]
[1206][127,(42, 23),1196,S,65,8,65.0]
[1215][128,(43, 23),1206,S,66,7,66.0]
[1221][129,(43, 24),1215,E,67,6,67.0]
[1229][132,(44, 24),1221,S,68,5,68.0]
[1236][136,(45, 24),1229,S,69,4,69.0]
[1241][140,(46, 24),1236,S,70,3,70.0]
[1245][143,(47, 24),1241,S,71,2,71.0]
[1248][145,(48, 24),1245,S,72,1,72.0]
[1250][146,(49, 24),1248,S,73,0,73.0]
