[id][cost,state,father_id,action,depth,h,value]
[0][0,(0, 0),None,None,0,98,0]
[1][2,(1, 0),0,S,1,97,1.0]
[3][4,(1, 1),1,E,2,96,0.0]
[7][7,(1, 2),3,E,3,95,0.0]
[10][11,(1, 3),7,E,4,94,0.0]
[12][12,(0, 3),10,N,5,95,0.0]
[15][15,(0, 4),12,E,6,94,0.0]
[16][18,(0, 5),15,E,7,93,0.0]
[17][19,(0, 6),16,E,8,92,0.0]
[19][21,(0, 7),17,E,9,91,0.0]
[21][22,(0, 8),19,E,10,90,0.0]
[22][25,(0, 9),21,E,11,89,0.0]
[24][26,(0, 10),22,E,12,88,0.0]
[25][27,(0, 11),24,E,13,87,0.0]
[27][31,(0, 12),25,E,14,86,0.0]
[29][32,(0, 13),27,E,15,85,0.0]
[31][35,(0, 14),29,E,16,84,0.0]
[33][39,(0, 15),31,E,17,83,0.0]
[35][41,(0, 16),33,E,18,82,0.0]
[37][43,(0, 17),35,E,19,81,0.0]
[39][44,(0, 18),37,E,20,80,0.0]
[41][46,(1, 18),39,S,21,79,0.0]
[52][47,(2, 18),41,S,22,78,0.0]
[73][49,(2, 19),52,E,23,77,0.0]
[74][50,(2, 20),73,E,24,76,0.0]
[76][51,(1, 20),74,N,25,77,0.0]
[80][52,(1, 21),76,E,26,76,0.0]
[84][55,(1, 22),80,E,27,75,0.0]
[86][56,(1, 23),84,E,28,74,0.0]
[89][59,(1, 24),86,E,29,73,0.0]
[91][62,(0, 24),89,N,30,74,0.0]
[94][66,(0, 25),91,E,31,73,0.0]
[95][69,(0, 26),94,E,32,72,0.0]
[97][70,(1, 26),95,S,33,71,0.0]
[100][71,(2, 26),97,S,34,70,0.0]
[105][72,(2, 27),100,E,35,69,0.0]
[108][73,(2, 28),105,E,36,68,0.0]
[110][76,(1, 28),108,N,37,69,0.0]
[113][78,(1, 29),110,E,38,68,0.0]
[114][81,(0, 29),113,N,39,69,0.0]
[116][84,(0, 30),114,E,40,68,0.0]
[117][88,(0, 31),116,E,41,67,0.0]
[118][89,(1, 31),117,S,42,66,0.0]
[120][90,(2, 31),118,S,43,65,0.0]
[124][91,(3, 31),120,S,44,64,0.0]
[153][95,(4, 31),124,S,45,63,0.0]
[189][98,(4, 32),153,E,46,62,0.0]
[191][100,(3, 32),189,N,47,63,0.0]
[194][101,(3, 33),191,E,48,62,0.0]
[195][102,(2, 33),194,N,49,63,0.0]
[196][103,(1, 33),195,N,50,64,0.0]
[199][104,(1, 32),196,O,51,65,0.0]
[200][105,(0, 32),199,N,52,66,0.0]
[201][106,(0, 33),200,E,53,65,0.0]
[202][108,(0, 34),201,E,54,64,0.0]
[203][112,(0, 35),202,E,55,63,0.0]
[204][114,(0, 36),203,E,56,62,0.0]
[206][116,(1, 36),204,S,57,61,0.0]
[208][120,(1, 37),206,E,58,60,0.0]
[210][121,(0, 37),208,N,59,61,0.0]
[213][124,(0, 38),210,E,60,60,0.0]
[214][125,(0, 39),213,E,61,59,0.0]
[215][126,(1, 39),214,S,62,58,0.0]
[216][129,(1, 40),215,E,63,57,0.0]
[218][130,(0, 40),216,N,64,58,0.0]
[220][131,(0, 41),218,E,65,57,0.0]
[221][132,(0, 42),220,E,66,56,0.0]
[223][134,(1, 42),221,S,67,55,0.0]
[225][137,(1, 43),223,E,68,54,0.0]
[227][139,(1, 44),225,E,69,53,0.0]
[231][140,(2, 44),227,S,70,52,0.0]
[256][141,(3, 44),231,S,71,51,0.0]
[268][142,(4, 44),256,S,72,50,0.0]
[281][146,(4, 45),268,E,73,49,0.0]
[282][150,(5, 45),281,S,74,48,0.0]
[331][151,(5, 46),282,E,75,47,0.0]
[336][154,(6, 46),331,S,76,46,0.0]
[392][155,(7, 46),336,S,77,45,0.0]
[437][156,(8, 46),392,S,78,44,0.0]
[486][157,(9, 46),437,S,79,43,0.0]
[540][160,(10, 46),486,S,80,42,0.0]
[590][161,(11, 46),540,S,81,41,0.0]
[637][164,(12, 46),590,S,82,40,0.0]
[681][166,(13, 46),637,S,83,39,0.0]
[736][170,(13, 47),681,E,84,38,0.0]
[737][171,(13, 48),736,E,85,37,0.0]
[739][172,(14, 48),737,S,86,36,0.0]
[794][176,(15, 48),739,S,87,35,0.0]
[841][177,(16, 48),794,S,88,34,0.0]
[891][181,(17, 48),841,S,89,33,0.0]
[946][183,(18, 48),891,S,90,32,0.0]
[989][185,(19, 48),946,S,91,31,0.0]
