[id][cost,state,father_id,action,depth,h,value]
[0][0,(0, 0),None,None,0,98,0]
[1][2,(1, 0),0,S,1,97,97.0]
[3][4,(1, 1),1,E,2,96,96.0]
[6][7,(1, 2),3,E,3,95,95.0]
[9][11,(1, 3),6,E,4,94,94.0]
[12][15,(1, 4),9,E,5,93,93.0]
[15][16,(2, 4),12,S,6,92,92.0]
[16][17,(2, 5),15,E,7,91,91.0]
[18][20,(2, 6),16,E,8,90,90.0]
[20][21,(2, 7),18,E,9,89,89.0]
[23][24,(2, 8),20,E,10,88,88.0]
[25][26,(2, 9),23,E,11,87,87.0]
[27][27,(2, 10),25,E,12,86,86.0]
[30][30,(3, 10),27,S,13,85,85.0]
[31][31,(3, 11),30,E,14,84,84.0]
[34][32,(4, 11),31,S,15,83,83.0]
[36][33,(4, 12),34,E,16,82,82.0]
[38][35,(5, 12),36,S,17,81,81.0]
[39][38,(5, 13),38,E,18,80,80.0]
[42][42,(5, 14),39,E,19,79,79.0]
[45][43,(5, 15),42,E,20,78,78.0]
[48][45,(5, 16),45,E,21,77,77.0]
[51][46,(5, 17),48,E,22,76,76.0]
[53][47,(5, 18),51,E,23,75,75.0]
[56][51,(5, 19),53,E,24,74,74.0]
[59][52,(5, 20),56,E,25,73,73.0]
[60][55,(5, 21),59,E,26,72,72.0]
[63][56,(5, 22),60,E,27,71,71.0]
[66][58,(5, 23),63,E,28,70,70.0]
[69][60,(6, 23),66,S,29,69,69.0]
[70][61,(6, 24),69,E,30,68,68.0]
[72][64,(6, 25),70,E,31,67,67.0]
[75][66,(6, 26),72,E,32,66,66.0]
[78][67,(7, 26),75,S,33,65,65.0]
[79][69,(7, 27),78,E,34,64,64.0]
[82][73,(7, 28),79,E,35,63,63.0]
[84][75,(8, 28),82,S,36,62,62.0]
[85][76,(9, 28),84,S,37,61,61.0]
[86][80,(9, 29),85,E,38,60,60.0]
[90][83,(10, 29),86,S,39,59,59.0]
[91][84,(10, 30),90,E,40,58,58.0]
[93][85,(10, 31),91,E,41,57,57.0]
[96][86,(10, 32),93,E,42,56,56.0]
[99][87,(10, 33),96,E,43,55,55.0]
[102][88,(10, 34),99,E,44,54,54.0]
[105][89,(11, 34),102,S,45,53,53.0]
[108][92,(11, 35),105,E,46,52,52.0]
[110][94,(12, 35),108,S,47,51,51.0]
[111][97,(12, 36),110,E,48,50,50.0]
[114][100,(12, 37),111,E,49,49,49.0]
[117][101,(12, 38),114,E,50,48,48.0]
[120][103,(12, 39),117,E,51,47,47.0]
[124][106,(13, 39),120,S,52,46,46.0]
[126][109,(13, 40),124,E,53,45,45.0]
[128][110,(13, 41),126,E,54,44,44.0]
[130][112,(13, 42),128,E,55,43,43.0]
[133][116,(13, 43),130,E,56,42,42.0]
[136][118,(13, 44),133,E,57,41,41.0]
[139][119,(13, 45),136,E,58,40,40.0]
[142][121,(13, 46),139,E,59,39,39.0]
[145][125,(13, 47),142,E,60,38,38.0]
[146][126,(13, 48),145,E,61,37,37.0]
[148][127,(13, 49),146,E,62,36,36.0]
[151][130,(14, 49),148,S,63,35,35.0]
[152][131,(15, 49),151,S,64,34,34.0]
[153][133,(16, 49),152,S,65,33,33.0]
[155][137,(17, 49),153,S,66,32,32.0]
[157][141,(17, 48),155,O,67,33,33.0]
[158][143,(18, 48),157,S,68,32,32.0]
[160][145,(19, 48),158,S,69,31,31.0]
[162][146,(19, 49),160,E,70,30,30.0]
[166][147,(20, 49),162,S,71,29,29.0]
[167][148,(21, 49),166,S,72,28,28.0]
[168][151,(22, 49),167,S,73,27,27.0]
[170][152,(23, 49),168,S,74,26,26.0]
[172][154,(24, 49),170,S,75,25,25.0]
[175][155,(24, 48),172,O,76,26,26.0]
[176][156,(25, 48),175,S,77,25,25.0]
[178][158,(26, 48),176,S,78,24,24.0]
[180][161,(26, 49),178,E,79,23,23.0]
[183][163,(27, 49),180,S,80,22,22.0]
[184][164,(28, 49),183,S,81,21,21.0]
[185][165,(29, 49),184,S,82,20,20.0]
[187][169,(29, 48),185,O,83,21,21.0]
[188][171,(30, 48),187,S,84,20,20.0]
[190][173,(30, 49),188,E,85,19,19.0]
[193][174,(31, 49),190,S,86,18,18.0]
[194][176,(32, 49),193,S,87,17,17.0]
[195][178,(33, 49),194,S,88,16,16.0]
[197][181,(33, 48),195,O,89,17,17.0]
[198][185,(34, 48),197,S,90,16,16.0]
[201][188,(35, 48),198,S,91,15,15.0]
[204][189,(36, 48),201,S,92,14,14.0]
[206][190,(36, 49),204,E,93,13,13.0]
[209][191,(37, 49),206,S,94,12,12.0]
[210][192,(38, 49),209,S,95,11,11.0]
[211][193,(39, 49),210,S,96,10,10.0]
[213][194,(40, 49),211,S,97,9,9.0]
[214][196,(41, 49),213,S,98,8,8.0]
[216][197,(42, 49),214,S,99,7,7.0]
[218][199,(43, 49),216,S,100,6,6.0]
[219][202,(44, 49),218,S,101,5,5.0]
[221][203,(45, 49),219,S,102,4,4.0]
[222][204,(45, 48),221,O,103,5,5.0]
[223][206,(46, 48),222,S,104,4,4.0]
[224][207,(46, 49),223,E,105,3,3.0]
[227][211,(47, 49),224,S,106,2,2.0]
[228][212,(48, 49),227,S,107,1,1.0]
[229][213,(49, 49),228,S,108,0,0.0]
