[id][cost,state,father_id,action,depth,h,value]
[0][0,(0, 0),None,None,0,98,0]
[1][2,(1, 0),0,S,1,97,2.0]
[4][3,(2, 0),1,S,2,96,3.0]
[6][6,(3, 0),4,S,3,95,6.0]
[10][7,(3, 1),6,E,4,94,7.0]
[14][8,(3, 2),10,E,5,93,8.0]
[16][9,(3, 3),14,E,6,92,9.0]
[20][10,(4, 3),16,S,7,91,10.0]
[23][11,(5, 3),20,S,8,90,11.0]
[30][12,(6, 3),23,S,9,89,12.0]
[37][13,(7, 3),30,S,10,88,13.0]
[43][14,(7, 4),37,E,11,87,14.0]
[46][15,(7, 5),43,E,12,86,15.0]
[52][16,(7, 6),46,E,13,85,16.0]
[60][17,(7, 7),52,E,14,84,17.0]
[69][18,(8, 7),60,S,15,83,18.0]
[84][19,(9, 7),69,S,16,82,19.0]
[95][20,(9, 8),84,E,17,81,20.0]
[101][22,(10, 8),95,S,18,80,22.0]
[115][23,(11, 8),101,S,19,79,23.0]
[125][24,(11, 9),115,E,20,78,24.0]
[141][25,(12, 9),125,S,21,77,25.0]
[155][26,(12, 10),141,E,22,76,26.0]
[163][27,(12, 11),155,E,23,75,27.0]
[178][28,(12, 12),163,E,24,74,28.0]
[192][29,(13, 12),178,S,25,73,29.0]
[203][30,(14, 12),192,S,26,72,30.0]
[220][31,(14, 13),203,E,27,71,31.0]
[240][32,(14, 14),220,E,28,70,32.0]
[257][33,(15, 14),240,S,29,69,33.0]
[271][37,(15, 15),257,E,30,68,37.0]
[348][38,(16, 15),271,S,31,67,38.0]
[367][39,(16, 16),348,E,32,66,39.0]
[392][40,(16, 17),367,E,33,65,40.0]
[416][41,(16, 18),392,E,34,64,41.0]
[434][42,(17, 18),416,S,35,63,42.0]
[452][43,(17, 19),434,E,36,62,43.0]
[470][44,(17, 20),452,E,37,61,44.0]
[495][45,(17, 21),470,E,38,60,45.0]
[520][46,(17, 22),495,E,39,59,46.0]
[541][47,(17, 23),520,E,40,58,47.0]
[566][49,(17, 24),541,E,41,57,49.0]
[610][50,(18, 24),566,S,42,56,50.0]
[638][51,(18, 25),610,E,43,55,51.0]
[659][53,(18, 26),638,E,44,54,53.0]
[711][54,(18, 27),659,E,45,53,54.0]
[745][55,(18, 28),711,E,46,52,55.0]
[772][56,(19, 28),745,S,47,51,56.0]
[809][57,(20, 28),772,S,48,50,57.0]
[847][58,(21, 28),809,S,49,49,58.0]
[875][59,(22, 28),847,S,50,48,59.0]
[903][60,(23, 28),875,S,51,47,60.0]
[935][61,(23, 29),903,E,52,46,61.0]
[975][62,(23, 30),935,E,53,45,62.0]
[1007][63,(23, 31),975,E,54,44,63.0]
[1044][64,(22, 31),1007,N,55,45,64.0]
[1069][67,(22, 32),1044,E,56,44,67.0]
[1172][68,(22, 33),1069,E,57,43,68.0]
[1202][69,(22, 34),1172,E,58,42,69.0]
[1225][70,(23, 34),1202,S,59,41,70.0]
[1257][71,(23, 35),1225,E,60,40,71.0]
[1293][72,(24, 35),1257,S,61,39,72.0]
[1329][73,(24, 36),1293,E,62,38,73.0]
[1367][74,(25, 36),1329,S,63,37,74.0]
[1409][75,(25, 37),1367,E,64,36,75.0]
[1450][76,(26, 37),1409,S,65,35,76.0]
[1499][78,(27, 37),1450,S,66,34,78.0]
[1589][79,(27, 38),1499,E,67,33,79.0]
[1628][81,(28, 38),1589,S,68,32,81.0]
[1712][82,(28, 39),1628,E,69,31,82.0]
[1740][83,(28, 40),1712,E,70,30,83.0]
[1777][85,(29, 40),1740,S,71,29,85.0]
[1862][86,(29, 41),1777,E,72,28,86.0]
[1912][88,(30, 41),1862,S,73,27,88.0]
[1998][89,(31, 41),1912,S,74,26,89.0]
[2036][91,(32, 41),1998,S,75,25,91.0]
[2108][92,(32, 42),2036,E,76,24,92.0]
[2136][95,(32, 43),2108,E,77,23,95.0]
[2220][96,(32, 44),2136,E,78,22,96.0]
[2240][97,(33, 44),2220,S,79,21,97.0]
[2264][99,(34, 44),2240,S,80,20,99.0]
[2301][100,(35, 44),2264,S,81,19,100.0]
[2318][101,(35, 45),2301,E,82,18,101.0]
[2335][102,(36, 45),2318,S,83,17,102.0]
[2347][103,(36, 46),2335,E,84,16,103.0]
[2362][104,(37, 46),2347,S,85,15,104.0]
[2370][105,(37, 47),2362,E,86,14,105.0]
[2382][106,(37, 48),2370,E,87,13,106.0]
[2397][107,(37, 49),2382,E,88,12,107.0]
[2413][108,(38, 49),2397,S,89,11,108.0]
[2422][109,(39, 49),2413,S,90,10,109.0]
[2433][110,(40, 49),2422,S,91,9,110.0]
[2442][112,(41, 49),2433,S,92,8,112.0]
[2450][113,(42, 49),2442,S,93,7,113.0]
[2459][115,(43, 49),2450,S,94,6,115.0]
[2475][118,(44, 49),2459,S,95,5,118.0]
[2482][119,(45, 49),2475,S,96,4,119.0]
[2484][120,(45, 48),2482,O,97,5,120.0]
[2488][122,(46, 48),2484,S,98,4,122.0]
[2492][123,(47, 48),2488,S,99,3,123.0]
[2494][124,(48, 48),2492,S,100,2,124.0]
[2495][125,(48, 49),2494,E,101,1,125.0]
[2500][126,(49, 49),2495,S,102,0,126.0]
